timestamp,consumerCount,producerCount,topicCount,queueCount,msgMem,pendingMessageCount,connectionCount,sessionCount,durableCount,pendingMessageSize,inboundMessageCount,inboundMessageRate,outboundMessageCount,outboundMessageRate,diskReadRate,diskWriteRate,asyncDBSize,syncDBSize,outboundBytesRate,diskReadOperationsRate,diskWriteOperationsRate,inboundBytesRate,msgMemPooled,routeRecoverCount,RespTime
Fri Apr 27 15:48:54 481 PDT 2018,2108,1272,93,858,780096713,2181594,670,3307,164,2880716944,24456056,2,164924245,2,0,19456,3844419072,131584,431,0,38,431,805775360,0,17
Fri Apr 27 15:49:14 510 PDT 2018,2108,1272,93,858,780096714,2181594,670,3307,164,2880716944,24456135,1,164924324,1,0,18432,3844419072,131584,217,0,36,217,805775360,0,14
Fri Apr 27 15:49:34 529 PDT 2018,2108,1271,93,858,780105458,2181600,669,3306,164,2880982378,24456226,0,164924415,0,0,18395,3844419072,131584,216,0,35,216,805775360,0,15
Fri Apr 27 15:49:54 563 PDT 2018,2108,1271,93,858,780106109,2181600,669,3306,164,2880982378,24456299,1,164924488,1,0,19417,3844419072,131584,430,0,37,430,805775360,0,14
Fri Apr 27 15:50:14 598 PDT 2018,2108,1271,93,858,780105229,2181601,669,3306,164,2880983414,24456384,4,164924572,4,0,21504,3844419072,131584,846,0,42,846,805775360,0,16
Fri Apr 27 15:50:34 623 PDT 2018,2109,1270,93,858,780096226,2181599,668,3306,164,2880905068,24456467,3,164924655,3,0,20449,3844419072,131584,743,0,39,743,805775360,0,15
Fri Apr 27 15:50:54 665 PDT 2018,2107,1270,93,858,780112783,2181610,668,3304,164,2880916378,24456554,3,164924741,3,0,19712,3844419072,131584,638,0,38,638,805775360,0,16
Fri Apr 27 15:51:14 681 PDT 2018,2110,1274,93,858,780131621,2181611,670,3307,164,2880944283,24456636,3,164924823,3,0,20981,3844419072,131584,744,0,40,744,805775360,0,14
Fri Apr 27 15:51:34 721 PDT 2018,2109,1274,93,858,780133170,2181612,670,3306,164,2880883116,24456729,2,164924911,2,0,19456,3844419072,131584,431,0,38,431,805775360,0,15
Fri Apr 27 15:51:54 752 PDT 2018,2109,1274,93,858,780120716,2181604,670,3306,164,2880874086,24456813,1,164924995,1,0,18432,3844419072,131584,217,0,36,217,805775360,0,14
Fri Apr 27 15:52:14 806 PDT 2018,2110,1274,93,858,780121066,2181604,670,3307,164,2880874919,24456903,4,164925084,4,0,22483,3844419072,131584,1056,0,43,1056,805775360,0,15
Fri Apr 27 15:52:34 824 PDT 2018,2109,1274,93,858,780128496,2181605,670,3306,164,2880828465,24457008,1,164925187,1,0,20459,3844419072,131584,430,0,39,430,805775360,0,15
Fri Apr 27 15:52:54 847 PDT 2018,2109,1272,93,858,780110505,2181604,668,3304,164,2880827440,24457090,2,164925269,2,0,19456,3844419072,131584,430,0,38,430,805775360,0,18
Fri Apr 27 15:53:14 879 PDT 2018,2110,1273,93,859,780118857,2181606,669,3305,164,2880830506,24457187,6,164925363,5,0,26059,3844419072,131584,2559,0,45,3769,805775360,0,17
Fri Apr 27 15:53:34 898 PDT 2018,2110,1273,93,859,780119825,2181607,669,3305,164,2880812481,24457296,2,164925470,2,0,20459,3844419072,131584,643,0,39,643,805775360,0,16
Fri Apr 27 15:53:54 940 PDT 2018,2110,1273,93,860,780120855,2181609,669,3306,164,2880814569,24457378,6,164925550,6,0,27502,3844419072,131584,55885,0,49,56405,805775360,0,14
Fri Apr 27 15:54:14 942 PDT 2018,2110,1276,93,859,780083831,2181610,671,3308,164,2880814787,24457479,6,164925650,6,0,23552,3844419072,131584,1278,0,46,1278,805775360,0,15
Fri Apr 27 15:54:35 010 PDT 2018,2107,1271,93,859,780075482,2181612,668,3304,164,2880780591,24457576,6,164925742,5,0,39779,3844419072,131584,16544,0,47,20134,805775360,0,16
Fri Apr 27 15:54:55 058 PDT 2018,2109,1272,93,860,780119162,2181612,670,3306,164,2880812144,24457693,3,164925857,3,0,22795,3844419072,131584,27811,0,42,27811,805775360,0,27
Fri Apr 27 15:55:15 092 PDT 2018,2109,1273,93,860,780131027,2181613,670,3306,164,2880813180,24457781,0,164925943,0,0,18413,3844419072,131584,216,0,35,216,805775360,0,17
Fri Apr 27 15:55:35 125 PDT 2018,2109,1273,93,860,780144648,2181619,670,3306,164,2880845536,24457886,0,164926042,0,0,18376,3844419072,131584,216,0,35,216,805775360,0,15
Fri Apr 27 15:55:55 163 PDT 2018,2109,1271,93,860,780141078,2181633,668,3304,164,2880903150,24457979,1,164926133,1,0,19436,3844419072,131584,430,0,37,430,805775360,0,15
Fri Apr 27 15:56:15 199 PDT 2018,2107,1269,93,860,780113448,2181635,665,3302,164,2880905011,24458073,5,164926224,5,0,22528,3844419072,131584,1060,0,44,1060,805775360,0,16
Fri Apr 27 15:56:35 216 PDT 2018,2106,1273,93,860,780124165,2181635,667,3303,164,2880905011,24458162,4,164926313,4,0,22505,3844419072,131584,1058,0,43,1058,805775360,0,15
Fri Apr 27 15:56:55 251 PDT 2018,2106,1276,93,860,780124352,2181629,668,3304,164,2880886852,24458249,5,164926396,4,0,24064,3844419072,131584,846,0,43,3042,805775360,0,17
Fri Apr 27 15:57:17 289 PDT 2018,2107,1276,93,859,780092707,2181633,668,3305,164,2880904385,24458338,4,164926482,4,0,23481,3844419072,131584,53087,0,45,53087,805775360,0,19
Fri Apr 27 15:57:37 382 PDT 2018,2106,1277,93,859,780081534,2181637,668,3304,164,2880925318,24458435,5,164926575,5,0,26447,3844419072,131584,29509,0,47,29509,805775360,0,16
Fri Apr 27 15:57:57 416 PDT 2018,2103,1277,93,859,780052989,2181635,665,3301,164,2880892464,24458509,3,164926649,3,0,19285,3844419072,131584,18108,0,37,18108,805775360,0,15
Fri Apr 27 15:58:17 470 PDT 2018,2103,1279,93,859,780070494,2181642,666,3302,164,2880917363,24458603,4,164926736,4,0,20551,3844419072,131584,27042,0,40,27042,805775360,0,15
Fri Apr 27 15:58:37 487 PDT 2018,2103,1279,93,859,780133674,2181648,666,3302,164,2881038216,24458702,4,164926831,4,0,55296,3844419072,131584,36222,0,38,36222,805775360,0,15
Fri Apr 27 15:58:57 517 PDT 2018,2103,1279,93,859,780130356,2181650,666,3302,164,2881027770,24458781,4,164926907,4,0,20274,3844419072,131584,856,0,38,1375,805775360,0,15
